match_id,world_cup_year,host_country,date,stage,round_raw,group,team1,team2,halftime_score_team1,halftime_score_team2,fulltime_score_team1,fulltime_score_team2,extra_time_score_team1,extra_time_score_team2,penalty_score_team1,penalty_score_team2,winner,result_method,stadium,city,total_goals_team1,total_goals_team2
897,2018,Russia,07 July 2018,Quarter-final,Quarter-finals,,Sweden,Croatia,1,1,1,1,2,2,3,4,Croatia,Penalties,Fisht Stadium,Sochi,2,2
898,2018,Russia,10 July 2018,Semi-final,Semi-finals,,Sweden,Belgium,0,0,1,0,,,,,France,Normal Time,Saint Petersburg Stadium,St. Petersburg,1,0
899,2018,Russia,11 July 2018,Semi-final,Semi-finals,,Sweden,England,0,1,1,1,2,1,,,Croatia,Extra Time,Luzhniki Stadium,Moscow,2,1
900,2018,Russia,14 July 2018,Third Place Play-off,Match for third place,,Sweden,England,1,0,2,0,,,,,Belgium,Normal Time,Saint Petersburg Stadium,St. Petersburg,2,0
901,2018,Russia,15 July 2018,Final,Final,,Sweden,Croatia,2,1,4,2,,,,,France,Normal Time,Luzhniki Stadium,Moscow,3,2
902,2022,Qatar,20 November 2022,Group Stage,Matchday 1,Group A,Sweden,Ecuador,0,2,0,2,,,,,Ecuador,Normal Time,Al Bayt Stadium,Al Khor,0,2
903,2022,Qatar,21 November 2022,Group Stage,Matchday 2,Group A,Sweden,Netherlands,0,0,0,2,,,,,Netherlands,Normal Time,Al Thumama Stadium,Doha,0,2
904,2022,Qatar,25 November 2022,Group Stage,Matchday 6,Group A,Sweden,Senegal,0,1,1,3,,,,,Senegal,Normal Time,Al Thumama Stadium,Doha,1,3
905,2022,Qatar,25 November 2022,Group Stage,Matchday 6,Group A,Sweden,Ecuador,1,0,1,1,,,,,Draw,Draw,Khalifa International Stadium,Al Rayyan,1,1
906,2022,Qatar,29 November 2022,Group Stage,Matchday 10,Group A,Sweden,Senegal,0,1,1,2,,,,,Senegal,Normal Time,Khalifa International Stadium,Al Rayyan,1,2
907,2022,Qatar,29 November 2022,Group Stage,Matchday 10,Group A,Sweden,Qatar,1,0,2,0,,,,,Netherlands,Normal Time,Al Bayt Stadium,Al Khor,2,0
908,2022,Qatar,21 November 2022,Group Stage,Matchday 2,Group B,Sweden,Iran,3,0,6,2,,,,,England,Normal Time,Khalifa International Stadium,Al Rayyan,6,2
909,2022,Qatar,21 November 2022,Group Stage,Matchday 2,Group B,Sweden,Wales,1,0,1,1,,,,,Draw,Draw,Ahmad bin Ali Stadium,Al Rayyan,1,1
910,2022,Qatar,25 November 2022,Group Stage,Matchday 6,Group B,Sweden,Iran,0,0,0,2,,,,,Iran,Normal Time,Ahmad bin Ali Stadium,Al Rayyan,0,2
911,2022,Qatar,25 November 2022,Group Stage,Matchday 6,Group B,Sweden,USA,,,0,0,,,,,Draw,Draw,Al Bayt Stadium,Al Khor,0,0
912,2022,Qatar,29 November 2022,Group Stage,Matchday 10,Group B,Sweden,England,0,0,0,3,,,,,England,Normal Time,Ahmad bin Ali Stadium,Al Rayyan,0,3
913,2022,Qatar,29 November 2022,Group Stage,Matchday 10,Group B,Sweden,USA,0,1,0,1,,,,,USA,Normal Time,Al Thumama Stadium,Doha,0,1
914,2022,Qatar,22 November 2022,Group Stage,Matchday 3,Group C,Sweden,Saudi Arabia,1,0,1,2,,,,,Saudi Arabia,Normal Time,Lusail Iconic Stadium,Lusail,1,2
